"NIP '{0}' is invalid — must consist of exactly 10 digits.","NIP '{0}' jest nieprawidłowy — musi składać się dokładnie z 10 cyfr."
"NIP '{0}' is invalid (incorrect checksum).","NIP '{0}' jest nieprawidłowy (błędna suma kontrolna)."
"Due Date {0} cannot be before Posting Date {1}.","Termin płatności {0} nie może być wcześniejszy niż data wystawienia {1}."
"Polish Tax Identifiers","Polskie identyfikatory podatkowe"
"Service Delivery Date","Data wykonania usługi"
"VAT Tax Status","Status podatnika VAT"
"Please specify","Proszę uzupełnić"
"It is needed to fetch Item Details.","To pole jest wymagane do pobrania szczegółów pozycji."
"Company","Firma"
"Customer","Kontrahent"
"Sales Invoice","Faktura sprzedaży"
"Due Date","Termin płatności"
"Posting Date","Data wystawienia"
"Tax ID","NIP"
"Poland","Polska"
"Download","Pobierz"
"Save","Zapisz"
"Cancel","Anuluj"
"Submit","Zatwierdź"
"Update","Zaktualizuj"
